Frame Rate:,23.9760246510
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
2003,00:01:23.542,12.013726128472223,9.309651692708334,9.630072699652779,17.101453993055557
2004,00:01:23.583,11.534568504050926,9.03515625,9.402099609375,16.16644965277778
2005,00:01:23.625,11.212953920717593,8.94192165798611,9.113471137152779,15.58346896701389
2006,00:01:23.667,11.558693214699074,9.995849609375,8.060356987847221,16.619873046875
2007,00:01:23.709,9.361888744212964,6.734619140625,6.803439670138889,14.547607421875
2008,00:01:23.750,11.392397280092593,8.909532335069445,8.172309027777779,17.095350477430557
2009,00:01:23.792,11.472122757523147,10.738579644097221,7.542182074652778,16.135606553819443
2010,00:01:23.834,8.670120804398149,6.003879123263889,6.161159939236111,13.845323350694445
2011,00:01:23.875,11.76072410300926,8.410590277777779,7.588460286458333,19.283121744791668
2012,00:01:23.917,10.897596571180557,9.095540364583334,6.587103949652778,17.010145399305557
2013,00:01:23.959,7.823106553819444,5.200005425347222,5.018337673611111,13.2509765625
2014,00:01:24.001,6.598560474537037,4.787977430555555,4.124647352430555,10.883056640625
2015,00:01:24.042,6.401041666666667,3.558078342013889,4.435221354166667,11.209825303819445
2016,00:01:24.084,7.1332013165509265,4.040825737847222,5.494032118055555,11.86474609375
2017,00:01:24.126,4.108660662615741,3.056179470486111,2.995090060763889,6.274712456597222
2018,00:01:24.167,4.168438946759259,2.5624457465277777,3.4401041666666665,6.502766927083333
2019,00:01:24.209,4.933186848958333,3.702121310763889,3.615261501736111,7.482177734375
2020,00:01:24.251,4.2499005353009265,2.4960394965277777,3.837673611111111,6.415988498263889
2021,00:01:24.293,3.6501916956018516,2.805419921875,2.689208984375,5.455946180555555
2022,00:01:24.334,3.5847981770833335,2.558349609375,2.869845920138889,5.326199001736111
2023,00:01:24.376,3.4200846354166665,2.9291178385416665,2.2491319444444446,5.082004123263889
2024,00:01:24.418,6.6474790219907405,4.949245876736111,4.510552300347222,10.48263888888889
2025,00:01:24.459,3.746482566550926,2.6192220052083335,2.9185112847222223,5.701714409722222
2026,00:01:24.501,4.7624330873842595,3.1602647569444446,3.326931423611111,7.800103081597222
2027,00:01:24.543,68.20199471932871,82.97545030381944,57.775065104166664,63.85546875
2028,00:01:24.584,16.15792281539352,16.52275933159722,16.55007595486111,15.400933159722221
2029,00:01:24.626,18.491337528935187,19.61225043402778,18.20098198784722,17.660780164930557
2030,00:01:24.668,20.33323386863426,22.277235243055557,19.03510199652778,19.687364366319443
2031,00:01:24.710,23.091959635416668,25.90823025173611,20.71318901909722,22.654459635416668
2032,00:01:24.751,23.443865740740737,26.878499348958332,20.954942491319443,22.498155381944443
2033,00:01:24.793,21.908347800925924,26.084065755208332,20.724012586805557,18.91696506076389
2034,00:01:24.835,24.231553819444446,30.10370551215278,21.77153862847222,20.819417317708332
2035,00:01:24.876,27.396185980902782,36.15790473090278,23.6455078125,22.385145399305557
2036,00:01:24.918,30.310158058449073,40.835666232638886,25.399793836805557,24.69501410590278
2037,00:01:24.960,31.469364872685187,43.94200303819444,25.67532009548611,24.790771484375
2038,00:01:25.002,32.969681351273145,49.53233506944444,24.481770833333332,24.894938151041668
2039,00:01:25.043,34.933846932870374,54.63609483506944,24.06133355034722,26.104112413194443
2040,00:01:25.085,36.31993272569444,58.28759765625,24.152723524305557,26.51947699652778
2041,00:01:25.127,36.79010235821759,58.193766276041664,24.5908203125,27.58572048611111
2042,00:01:25.168,37.16045464409722,54.89043511284722,26.30072699652778,30.290201822916668
2043,00:01:25.210,38.005343967013886,52.427083333333336,26.16086154513889,35.42808702256944
2044,00:01:25.252,37.557472511574076,49.796468098958336,26.17510308159722,36.700846354166664
2045,00:01:25.294,36.39050745081018,46.740234375,25.867296006944443,36.563991970486114
2046,00:01:25.335,35.53015588831018,43.10804578993056,25.453043619791668,38.029378255208336
2047,00:01:25.377,32.812807436342595,39.320638020833336,26.432535807291668,32.68524848090278
2048,00:01:25.419,33.034749348958336,36.595920138888886,29.07058376736111,33.437744140625
2049,00:01:25.460,32.94599066840278,33.316623263888886,30.85698784722222,34.66436089409722
2050,00:01:25.502,32.675283926504626,29.911376953125,32.051784939236114,36.06268988715278
2051,00:01:25.544,31.307219328703706,26.79071723090278,31.71115451388889,35.41978624131944
2052,00:01:25.585,30.72628219039352,24.385850694444443,31.664794921875,36.128200954861114
2053,00:01:25.627,28.668836805555554,21.17583550347222,29.34662543402778,35.484049479166664
2054,00:01:25.669,24.474609375,17.98394097222222,24.86089409722222,30.578993055555557
2055,00:01:25.711,20.804253472222225,13.887152777777779,21.988905164930557,26.536702473958332
2056,00:01:25.752,20.04999457465278,13.726481119791666,20.92377387152778,25.49972873263889
2057,00:01:25.794,18.68817816840278,13.297010633680555,18.259168836805557,24.50835503472222
2058,00:01:25.836,18.57809787326389,12.51931423611111,17.39252387152778,25.82245551215278
2059,00:01:25.877,17.034505208333332,10.781846788194445,15.274766710069445,25.04690212673611
2060,00:01:25.919,15.592692057291666,10.003553602430555,13.928304036458334,22.84621853298611
2061,00:01:25.961,11.972846137152779,7.593912760416667,11.138319227430555,17.18630642361111
2062,00:01:26.003,10.309932002314815,4.501519097222222,8.322211371527779,18.106065538194443
2063,00:01:26.044,9.212791160300926,5.391248914930555,7.168619791666667,15.078504774305555
2064,00:01:26.086,8.13991066261574,3.395968967013889,6.627224392361111,14.396538628472221
2065,00:01:26.128,11.641936125578704,5.025960286458333,9.942192925347221,19.957655164930557
2066,00:01:26.169,11.743236400462962,4.988064236111111,9.523383246527779,20.71826171875
2067,00:01:26.211,10.751374421296296,4.593505859375,9.27761501736111,18.38300238715278
2068,00:01:26.253,14.492621527777779,9.25973849826389,12.119547526041666,22.09857855902778
2069,00:01:26.295,12.5908203125,5.56298828125,11.317735460069445,20.891737196180557
2070,00:01:26.336,11.394151475694443,5.851101345486111,9.751953125,18.57939995659722
2071,00:01:26.378,12.408754701967593,7.235622829861111,10.226752387152779,19.76388888888889
2072,00:01:26.420,17.04252567997685,10.175618489583334,16.44878472222222,24.503173828125
2073,00:01:26.461,22.25538013599537,13.965521918402779,22.434651692708332,30.365966796875
2074,00:01:26.503,31.238444010416668,21.959554036458332,32.415690104166664,39.340087890625
2075,00:01:26.545,39.002785011574076,38.11927625868056,37.048258463541664,41.8408203125
2076,00:01:26.586,34.70601851851851,38.002658420138886,30.71221245659722,35.40318467881944
2077,00:01:26.628,33.30372902199074,38.50604926215278,27.49506293402778,33.910074869791664
2078,00:01:26.670,33.12141022858796,39.010769314236114,26.58447265625,33.76898871527778
2079,00:01:26.712,31.76003689236111,39.038492838541664,25.35739474826389,30.88422309027778
2080,00:01:26.753,32.97043185763889,44.394612630208336,24.407850477430557,30.10883246527778
2081,00:01:26.795,35.13927770543982,50.72645399305556,22.979736328125,31.71164279513889
2082,00:01:26.837,71.13228804976852,63.63945855034722,65.73052300347223,84.02688259548611
2083,00:01:26.878,8.655626085069445,3.4149034288194446,5.366617838541667,17.18535698784722
2084,00:01:26.920,9.864899811921296,4.101155598958333,5.761203342013889,19.732340494791668
2085,00:01:26.962,9.722855179398149,4.005615234375,5.711127387152778,19.451822916666668
2086,00:01:27.004,14.830430772569445,8.01437717013889,8.881537543402779,27.595377604166668
2087,00:01:27.045,17.391764322916668,11.045166015625,12.446831597222221,28.68329535590278
2088,00:01:27.087,17.585955584490737,9.40625,13.80124240451389,29.550374348958332
2089,00:01:27.129,18.023835358796298,9.892198350694445,13.877522786458334,30.30178493923611
2090,00:01:27.170,18.87650101273148,11.314887152777779,13.999131944444445,31.31548394097222
2091,00:01:27.212,18.39895290798611,11.82101779513889,13.02615017361111,30.349690755208332
2092,00:01:27.254,18.47877785011574,12.317274305555555,13.382921006944445,29.73613823784722
2093,00:01:27.296,17.712483723958332,11.867730034722221,12.439778645833334,28.829942491319443
2094,00:01:27.337,17.803132233796294,11.959662543402779,12.17355685763889,29.27617730034722
2095,00:01:27.379,16.925374348958332,11.371961805555555,11.897515190972221,27.50664605034722
2096,00:01:27.421,17.708613642939813,11.281005859375,12.37722439236111,29.467610677083332
2097,00:01:27.462,19.19970703125,11.726155598958334,13.805230034722221,32.06773546006944
2098,00:01:27.504,19.45265480324074,11.304633246527779,13.690077039930555,33.363254123263886
2099,00:01:27.546,18.091932508680554,10.221516927083334,12.055230034722221,31.99905056423611
2100,00:01:27.587,17.718144169560187,9.886067708333334,10.605278862847221,32.6630859375
2101,00:01:27.629,15.941641348379628,8.545274522569445,9.42092556423611,29.858723958333332
2102,00:01:27.671,14.868317780671298,7.6875,8.399468315972221,28.517985026041668
2103,00:01:27.713,13.962022569444445,7.228488498263889,7.644422743055555,27.01315646701389
2104,00:01:27.754,14.314299406828704,7.372911241319445,7.557888454861111,28.012098524305557
2105,00:01:27.796,14.647994429976853,7.335530598958333,7.593044704861111,29.01540798611111
2106,00:01:27.838,14.355839482060185,6.980604383680555,7.308159722222222,28.77875434027778
2107,00:01:27.879,14.920563874421296,7.485541449652778,7.397650824652778,29.878499348958332
2108,00:01:27.921,15.073531539351853,7.026719835069445,7.881401909722222,30.31247287326389
2109,00:01:27.963,16.241364655671294,8.03420681423611,8.356309678819445,32.333577473958336
2110,00:01:28.005,14.933440031828704,7.409857855902778,8.294325086805555,29.09613715277778
2111,00:01:28.046,14.645697699652779,7.202284071180555,7.789794921875,28.94501410590278
2112,00:01:28.088,13.687120225694445,6.96240234375,7.298719618055555,26.80023871527778
2113,00:01:28.130,12.856761791087964,6.305826822916667,6.892415364583333,25.37204318576389
2114,00:01:28.171,13.607078269675924,6.910997178819445,7.151340060763889,26.758897569444443
2115,00:01:28.213,12.291268807870372,6.313937717013889,6.995578342013889,23.564290364583332
2116,00:01:28.255,12.796214916087962,7.584771050347222,6.832438151041667,23.971435546875
2117,00:01:28.297,12.573151765046296,7.504041883680555,6.879801432291667,23.335611979166668
2118,00:01:28.338,12.030219184027779,6.248860677083333,7.217339409722222,22.62445746527778
2119,00:01:28.380,13.243670428240739,7.692301432291667,7.652615017361111,24.386094835069443
2120,00:01:28.422,11.917643229166666,6.023084852430555,7.696126302083333,22.03371853298611
2121,00:01:28.463,11.137604890046296,6.859456380208333,7.580864800347222,18.972493489583332
2122,00:01:28.505,11.311776620370372,6.5068359375,8.037923177083334,19.39057074652778
2123,00:01:28.547,11.629195601851853,6.31689453125,8.58493381076389,19.985758463541668
2124,00:01:28.588,12.866635923032407,7.247721354166667,9.832085503472221,21.520100911458332
2125,00:01:28.630,11.950891565393519,6.670681423611111,9.195990668402779,19.986002604166668
2126,00:01:28.672,12.106987847222221,6.902886284722222,9.349365234375,20.068712022569443
2127,00:01:28.714,12.451054325810185,6.556504991319445,9.610107421875,21.18655056423611
2128,00:01:28.755,15.283438223379628,8.563639322916666,10.002495659722221,27.2841796875
2129,00:01:28.797,13.13427734375,6.167209201388889,9.412760416666666,23.822862413194443
2130,00:01:28.839,13.765127676504628,6.687662760416667,10.204047309027779,24.403672960069443
2131,00:01:28.880,13.200339988425926,6.492431640625,9.57961697048611,23.528971354166668
2132,00:01:28.922,12.755099826388891,6.132731119791667,9.91110568576389,22.22146267361111
2133,00:01:28.964,12.691903573495368,6.780083550347222,10.109537760416666,21.18608940972222
2134,00:01:29.006,13.316849320023147,7.631618923611111,10.489420572916666,21.829508463541668
2135,00:01:29.047,12.021005135995372,5.784912109375,9.183675130208334,21.09442816840278
2136,00:01:29.089,12.421106409143519,6.34912109375,9.096137152777779,21.81806098090278
2137,00:01:29.131,12.223596643518519,5.990152994791667,9.141845703125,21.53879123263889
2138,00:01:29.172,12.801468460648147,6.939181857638889,8.885498046875,22.579725477430557
2139,00:01:29.214,12.906485098379632,6.3935546875,9.158772786458334,23.167127821180557
2140,00:01:29.256,14.022234881365742,7.087619357638889,8.816541883680555,26.16254340277778
2141,00:01:29.298,12.730812355324074,6.107394748263889,8.172688802083334,23.912353515625
2142,00:01:29.339,12.375406901041666,6.110595703125,7.195258246527778,23.82036675347222
2143,00:01:29.381,13.288664641203704,6.412434895833333,7.563259548611111,25.890299479166668
